pmcid,title,doi,license,journal,n_sections,n_chars
PMC13499403,Topographically Resolved Macular Pigment Optical Density Is Associated with Disease Progression in Macular Telangiectasia Type 2,10.1016/j.xops.2026.101326,CC BY 4.0,Ophthalmology Science,12,18745
PMC13499576,Development of a Targeted Choroidal Injury Model for the Study of Retinal Degenerations and Therapeutic Cell Replacement,10.1167/tvst.15.8.17,CC BY 4.0,Translational Vision Science & Technology,13,29930
PMC13499034,Detection of Disease Progression Using Widefield Optical Coherence Tomography in the Nonhuman Primate Experimental Glaucoma Model,10.1167/tvst.15.8.16,CC BY 4.0,Translational Vision Science & Technology,12,24184
PMC13498439,Reference Standard for Validation of Age-Related Macular Degeneration Screening Algorithms,10.1016/j.ophtha.2026.04.013,CC BY 4.0,Ophthalmology,9,21156
PMC13490247,Parental knowledge–attitude–practice profiles in childhood myopia: a comprehensive evaluation integrated with clinical findings,10.1007/s00417-026-07272-7,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,6,20097
PMC13490244,Imaging-based machine learning for the diagnosis and prognosis of uveal melanoma: a systematic review and meta analysis,10.1007/s00417-026-07230-3,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,21,36595
PMC13489994,Subjective clinical visual disturbance scores correlation with simulated vehicle headlight halo in presbyopia-correcting intraocular lenses,10.1007/s00417-026-07197-1,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,7,16259
PMC13490263,Is it really keratoconus or pseudo-keratoconus? – Topographic mimicry,10.1007/s00417-025-07067-2,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,6,24137
PMC13490230,Global epigenetic immunohistochemical markers reveal developmental connections of distinct cell types during fetal development,10.1007/s00417-025-07038-7,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,17,21219
PMC13490259,Non neovascular Age – related macular degeneration – Review on clinical and imaging advances,10.1007/s00417-026-07216-1,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,18,47539
PMC13490246,The forgotten story behind the first published retinal paintings,10.1007/s00417-026-07196-2,CC BY 4.0,Graefe's Archive for Clinical and Experimental Ophthalmology,7,15317
PMC13487285,The Organization of Choroidal Arteries in Normal Eyes,10.1016/j.xops.2026.101294,CC BY 4.0,Ophthalmology Science,4,15330
PMC13487276,Early Structure–Function Correlates in Neovascular Age-Related Macular Degeneration Using Artificial Intelligence–Derived OCT Biomarkers,10.1016/j.xops.2026.101281,CC BY 4.0,Ophthalmology Science,6,24182
PMC13480362,Preserflo MicroShunt Outcomes in Rare and Refractory Glaucoma Entities Compared with Matched Primary Open-Angle Glaucoma Controls: A Retrospective Exploratory Study,10.2147/OPTH.S599778,CC BY 4.0,"Clinical Ophthalmology (Auckland, N.Z.)",20,46794
PMC13479887,Silicone oil-associated visual loss in macula-on rhegmatogenous retinal detachment – does the tamponade duration affect the outcome?,10.1186/s12886-026-05235-4,CC BY 4.0,BMC Ophthalmology,11,24681
PMC13480020,Reduced Retinal Perfusion With Preserved Microvascular Network Density in Early Alzheimer's Disease: A Multimodal Imaging Study,10.1167/tvst.15.8.7,CC BY 4.0,Translational Vision Science & Technology,12,35119
PMC13480019,Macular Curvature in Children Born Preterm With and Without ROP – Results From the Gutenberg Prematurity Study Young,10.1167/iovs.67.10.27,CC BY 4.0,Investigative Ophthalmology & Visual Science,18,25017
PMC13480021,Defining a Novel RPGR Phenotype of Sector Retinitis Pigmentosa With Cone Dystrophy,10.1167/iovs.67.10.24,CC BY 4.0,Investigative Ophthalmology & Visual Science,5,20303
PMC13475070,Evaluation of a Head-Mounted Virtual Reality Perimeter Compared with Stationary Perimeters across All Stages of Glaucoma,10.1016/j.xops.2026.101314,CC BY 4.0,Ophthalmology Science,18,20668
PMC13475202,Phase I/IIa Study of an Intravitreal Optogenetic Therapy (AGN-151597) in Patients with Advanced Retinitis Pigmentosa,10.1016/j.xops.2026.101323,CC BY 4.0,Ophthalmology Science,13,24615
PMC13470164,Quantification of Ocular Gene Therapy–Related Inflammation Using the VRMACS Grading System,10.1016/j.xops.2026.101316,CC BY 4.0,Ophthalmology Science,9,22958
PMC13471466,Association between fungal growth temperature and corneal lesions in fungal keratitis: a case series,10.1186/s12886-026-05098-9,CC BY 4.0,BMC Ophthalmology,12,24045
PMC13462731,Spaceflight-associated neuro-ocular syndrome (SANS): expert consensus on diagnosis and management,10.1038/s41433-026-04651-6,CC BY 4.0,Eye,22,45045
PMC13463095,Temporal perceptual training enhances visual acuity in adult amblyopia: a single-case study,10.1038/s41433-026-04688-7,CC BY 4.0,Eye,4,2530
PMC13463093,"Functional visual loss: a systematic review and meta-analysis of epidemiology, prognosis and treatment",10.1038/s41433-026-04648-1,CC BY 4.0,Eye,20,45839
PMC13462143,The combined use of in vivo confocal microscopy and optical coherence tomography in monitoring corneal infections,10.1038/s41433-026-04599-7,CC BY 4.0,Eye,15,25961
PMC13463039,Real-world evaluation of online visual acuity self-testing and remote consultation: three years of implementation experience in a paediatric ophthalmology service,10.1038/s41433-026-04575-1,CC BY 4.0,Eye,13,20966
PMC13463035,"Research priorities for diagnostics, progression monitoring, and treatment of glaucoma in myopic eyes",10.1038/s41433-026-04549-3,CC BY 4.0,Eye,8,17598
PMC13462102,I-SCREEN: Development of an AI-based infrastructure for community-wide screening and prediction of progression in age-related macular degeneration providing accessible shared care,10.1038/s41433-026-04487-0,CC BY 4.0,Eye,15,32545
PMC13459252,"Vision screening in pre-school children in Asmara, Eritrea",10.1186/s12886-026-05206-9,CC BY 4.0,BMC Ophthalmology,23,20075
PMC13459247,Ocular findings in pediatric candidates for cochlear implantation with bilateral sensorineural hearing loss: a brief report from northwestern Iran,10.1186/s12886-026-05205-w,CC BY 4.0,BMC Ophthalmology,7,16921
PMC13460392,Association of treated neovascular AMD with disability and mood disorders: A longitudinal nationwide study,10.1111/aos.70130,CC BY 4.0,Acta Ophthalmologica,13,20264
PMC13460381,Systemic medications associate with surgically treated cataract among adults over 50 years in Finland,10.1111/aos.70118,CC BY 4.0,Acta Ophthalmologica,28,28630
PMC13460365,What is the incidence and clinical significance of dry eye disease in patients treated with immune checkpoint inhibitors? A systematic review and meta‐analysis of ocular immune‐related adverse events,10.1111/aos.70058,CC BY 4.0,Acta Ophthalmologica,22,37409
PMC13460356,Prenatal and childhood exposure to smoking and retinal nerve fibre layer thickness: A meta‐analysis of three independent birth cohorts,10.1111/aos.70109,CC BY 4.0,Acta Ophthalmologica,23,22283
PMC13460362,"Ultrasound, PET/CT or temporal artery biopsy for giant cell arteritis? A prospective diagnostic accuracy study (the GAME‐study)",10.1111/aos.70114,CC BY 4.0,Acta Ophthalmologica,23,37095
PMC13460349,Revised Swedish visual field standards for a driver's licence: Threshold perimetry as a predictor of eligibility according to the current Swedish and current Norwegian suprathreshold standards,10.1111/aos.70111,CC BY 4.0,Acta Ophthalmologica,16,28726
PMC13460348,The impact of systemic long‐term medications for the development of age‐related macular degeneration,10.1111/aos.70113,CC BY 4.0,Acta Ophthalmologica,9,25264
PMC13460363,Age distribution and characteristics of choroidal nevi in 35 559 individuals: A nationwide study using optometry fundus photography,10.1111/aos.70112,CC BY 4.0,Acta Ophthalmologica,11,18113
PMC13460367,The oscillatory response of the electroretinogram and neuronal adaptation,10.1111/aos.70105,CC BY 4.0,Acta Ophthalmologica,49,96272
PMC13460357,Risk factors for the development of subretinal fluid in the fellow eyes of patients with chronic central serous chorioretinopathy,10.1111/aos.70103,CC BY 4.0,Acta Ophthalmologica,9,18973
PMC13460359,"Non‐physician delivered intravitreal injection service: A systematic review of safety, implementation, training and patient experience",10.1111/aos.70104,CC BY 4.0,Acta Ophthalmologica,16,39277
PMC13460364,Aniridia‐associated keratopathy: Clinical and molecular mechanisms of disease progression and emerging therapeutic targets,10.1111/aos.70086,CC BY 4.0,Acta Ophthalmologica,15,48328
PMC13460374,Fania (Fanny) Kaplan and the attempted assassination of Vladimir Lenin: Ophthalmologic considerations,10.1111/aos.70073,CC BY 4.0,Acta Ophthalmologica,8,13111
PMC13455296,Serial dual-wavelength illumination for retinal vessel oximetry using a conventional fundus camera: a proof-of-concept study,10.1186/s12886-026-05216-7,CC BY 4.0,BMC Ophthalmology,12,29787
PMC13452212,Two-Year Efficacy of Cylindrical Annular Refractive Elements Spectacle Lenses for Myopia Control in European Children,10.1016/j.xops.2026.101309,CC BY 4.0,Ophthalmology Science,13,25173
PMC13452433,Macular Choriocapillaris and Retinal Microvascular Alterations Across the Prediabetes–Early Type 2 Diabetes Continuum,10.1167/iovs.67.10.16,CC BY 4.0,Investigative Ophthalmology & Visual Science,13,21476
PMC13449777,Vision-Related Patient-Reported Outcomes in Randomized Controlled Trials of Age-Related Macular Degeneration: A Systematic Review,10.1016/j.xops.2026.101308,CC BY 4.0,Ophthalmology Science,21,26793
PMC13449369,Interactions Between Epidermal Growth Factor–Containing Fibulin-Like Extracellular Matrix Protein 1 and Tissue Inhibitor of Metalloproteinases-3 and Relevance to Age-Related Macular Degeneration,10.1016/j.xops.2026.101287,CC BY 4.0,Ophthalmology Science,17,38285
PMC13450645,Functional and Structural Characterization of a Large Animal Model of RDH5-Associated Retinopathy,10.1167/tvst.15.8.2,CC BY 4.0,Translational Vision Science & Technology,23,44206
PMC13450651,Repeatability of Foveal Sensitivity Measured Using Adaptive Optics Microperimetry,10.1167/tvst.15.8.3,CC BY 4.0,Translational Vision Science & Technology,14,36099
PMC13450646,"Annexin A1 as a Key Modulator of Inflammatory, Glial, and Angiogenic Signaling Pathways in Diabetic Retinopathy",10.1167/iovs.67.10.12,CC BY 4.0,Investigative Ophthalmology & Visual Science,20,38092
PMC13449494,Comparison of spectral-domain optical coherence tomography biometry measurements with partial coherence interferometry optical biometry,10.1186/s12886-026-04979-3,CC BY 4.0,BMC Ophthalmology,8,22157
PMC13450075,Functional and anatomical outcomes of Yamane technique-based scleral fixation after complicated cataract surgery versus IOL extraction,10.1186/s12886-026-04876-9,CC BY 4.0,BMC Ophthalmology,11,40159
PMC13446301,Low-Dose Atropine for Pediatric Myopia: First-Year Progression as a Risk-Stratification and Management Signal,10.1016/j.xops.2026.101300,CC BY 4.0,Ophthalmology Science,16,39490
PMC13446541,Distribution and Time Trends of Refractive Errors in Japanese Spectacle Wearers,10.1167/iovs.67.10.5,CC BY 4.0,Investigative Ophthalmology & Visual Science,10,24575
PMC13436581,The Impact of Inflammatory Hyperreflective Spots and Hard Exudates on Retinal Function in Diabetic Retinal Disease,10.1167/tvst.15.7.34,CC BY 4.0,Translational Vision Science & Technology,17,30673
PMC13435950,Suprachoroidal effusion with angle-closure glaucoma in a patient with active systemic lupus erythematosus: a case report,10.1186/s12886-026-04971-x,CC BY 4.0,BMC Ophthalmology,5,10024
PMC13435520,Efficacy comparison of moderate to severe astigmatism: implantable collamer lens combined with paired opposite clear corneal incisions versus toric implantable collamer lens,10.1186/s12886-026-04948-w,CC BY 4.0,BMC Ophthalmology,13,29877
PMC13430828,Longitudinal OCT changes of the peripapillary RNFL after different glaucoma interventions – a comparative study,10.1186/s12886-026-05160-6,CC BY 4.0,BMC Ophthalmology,6,27543
PMC13425831,"Consensus Guidance for Screening, Classification, and Treatment of Retinopathy Associated with Incontinentia Pigmenti",10.1016/j.xops.2026.101293,CC BY 4.0,Ophthalmology Science,15,30283
PMC13425242,XXYLT1 and Mendelian Retinal Dystrophy,10.1001/jamaophthalmol.2026.2795,CC BY 4.0,JAMA Ophthalmology,22,24429
PMC13426864,Visual Performance of Defocus Incorporated Multiple Segments With Triple Enhanced Design Spectacle Lenses Versus DIMS and Single Vision Lenses,10.1167/tvst.15.7.32,CC BY 4.0,Translational Vision Science & Technology,19,34796
PMC13426857,Validation of a Machine Learning Approach to the Analysis of Multifocal Electroretinograms for Hydroxychloroquine Retinopathy,10.1167/tvst.15.7.29,CC BY 4.0,Translational Vision Science & Technology,18,38082
PMC13426518,Preclinical Ocular Pharmacokinetics and Efficacy of Novel Tivozanib Eye Drops for Neovascular Age-Related Macular Degeneration,10.1167/iovs.67.8.55,CC BY 4.0,Investigative Ophthalmology & Visual Science,28,32940
PMC13421823,Direct randomized evidence comparing ranibizumab and bevacizumab for macular edema secondary to retinal vein occlusion: a systematic review and meta-analysis,10.1186/s12886-026-05146-4,CC BY 4.0,BMC Ophthalmology,25,36255
PMC13422349,The effect of lithium on the structure and function of the human retina: a systematic review,10.1186/s12886-026-05095-y,CC BY 4.0,BMC Ophthalmology,16,31261
PMC13421833,CD14+CD56+ Cell Is an Independent Regulatory Monocyte Subpopulation Increased in VKHS Patients Following Glucocorticoids Therapy,10.1167/iovs.67.8.53,CC BY 4.0,Investigative Ophthalmology & Visual Science,22,47109
PMC13418415,Clinical outcomes of combined presbyopia and astigmatism correction following hydrophilic trifocal toric intraocular lens implantation in cataract patients: a prospective clinical study,10.1186/s12886-026-05145-5,CC BY 4.0,BMC Ophthalmology,12,25635
PMC13418425,Miri 4-points marker: a low-cost marking device for flanged intrascleral intraocular lens fixation with modified Yamane technique,10.1186/s12886-026-05134-8,CC BY 4.0,BMC Ophthalmology,13,34816
PMC13415546,Revisiting the sclera as a target for glaucoma therapy,10.1038/s41433-026-04615-w,CC BY 4.0,Eye,15,37935
PMC13415855,SPECTRUM: Early clinical experience from the first global real-world study of aflibercept 8 mg in patients with diabetic macular oedema,10.1038/s41433-026-04659-y,CC BY 4.0,Eye,4,3233
PMC13415846,"Dropless after cataract surgery (DACS): concepts, evidence and clinical potential",10.1038/s41433-026-04604-z,CC BY 4.0,Eye,17,37803
PMC13415519,Management of ocular surface disease involving inflammation and persistent epithelial defects utilising various treatment modalities in the UK National Health Service (NHS),10.1038/s41433-026-04314-6,CC BY 4.0,Eye,33,32664
PMC13415518,Robust and reproducible population receptive field mapping in patients with retinal pathologies,10.1038/s41433-026-04523-z,CC BY 4.0,Eye,11,30947
PMC13415550,Clinical outcomes of weekly adalimumab in refractory non-infectious paediatric uveitis and the role of serum drug levels and anti-adalimumab antibodies,10.1038/s41433-026-04460-x,CC BY 4.0,Eye,15,28975
PMC13416134,Near-infrared OCT imaging for the assessment of anisocoria,10.1038/s41433-026-04536-8,CC BY 4.0,Eye,13,17928
PMC13415771,Predictors of the early pneumatic displacement effect of submacular haemorrhage secondary to polypoidal choroidal vasculopathy,10.1038/s41433-026-04535-9,CC BY 4.0,Eye,11,25306
PMC13416131,Optical coherence tomography measurement of retinal layers above the peripapillary hyperreflective ovoid mass-like structure in true papilloedema and pseudo-papilloedema,10.1038/s41433-026-04522-0,CC BY 4.0,Eye,18,26628
PMC13416069,Patient and staff experiences of a community-based diagnostic clinic for chronic eye conditions: Qualitative analysis,10.1038/s41433-026-04528-8,CC BY 4.0,Eye,30,32522
PMC13416027,Vision in the margins: the association between census tract neighbourhood disadvantage and visual difficulty and blindness in the United States,10.1038/s41433-026-04515-z,CC BY 4.0,Eye,10,21557
PMC13415571,Evaluating the effect of a new myopia control spectacle lens among children in Israel: 24-month results,10.1038/s41433-026-04455-8,CC BY 4.0,Eye,10,18924
PMC13404314,Modified skills of trypsin-digested retinal vasculature mount preparation and string vessels observation,10.1186/s12886-026-04951-1,CC BY 4.0,BMC Ophthalmology,19,33090
PMC13406388,Optic Disc Flavoprotein Fluorescence Imaging as a Novel Method to Quantify Disease Burden in Optic Disc Drusen,10.1016/j.ajo.2025.11.018,CC BY 4.0,American journal of ophthalmology,19,32142
PMC13401120,Incomplete Retinal Pigment Epithelium and Outer Retinal Atrophy Characterized Using Fundus Autofluorescence: An 18-Month Post Hoc Analysis of GATHER2,10.1167/iovs.67.8.46,CC BY 4.0,Investigative Ophthalmology & Visual Science,10,18464
PMC13398881,L-DOPA Promotes Post-Treatment Neurovascular and Synaptic Homeostasis in Early Diabetic Retinopathy,10.1167/iovs.67.8.42,CC BY 4.0,Investigative Ophthalmology & Visual Science,22,30713
PMC13390411,Quantitative analysis of anterior and posterior chamber parameters of primary angle-closure glaucoma based on level set method,10.1186/s12886-026-04933-3,CC BY 4.0,BMC Ophthalmology,10,20813
PMC13386882,Prevalence of choroidal naevi in Germany: a cross-sectional analysis of the BiDirect study,10.1186/s12886-026-05129-5,CC BY 4.0,BMC Ophthalmology,13,21688
PMC13387271,Integrative Genomic Mapping and Visualization From Curated Public Datasets Reveals Germline RB1 Variant Diversity in Retinoblastoma,10.1167/iovs.67.8.40,CC BY 4.0,Investigative Ophthalmology & Visual Science,10,28907
PMC13387277,Quantifying Lateral Pulsation in Retinal Vessels Within the Optic Disc,10.1167/tvst.15.7.20,CC BY 4.0,Translational Vision Science & Technology,11,27853
PMC13387270,Validation of a New Handheld Automated Fixed-Force Applanation Tonometer,10.1167/tvst.15.7.21,CC BY 4.0,Translational Vision Science & Technology,8,25458
PMC13387592,Utilization Patterns and Costs of Ocular Amniotic Membrane Grafts in the Medicare Population,10.1016/j.ophtha.2025.08.023,CC BY 4.0,Ophthalmology,9,20687
PMC13383214,Comparative Diagnostic Efficacy of Swept-Source OCT and Scheimpflug Imaging in Clinically Unaffected Eyes of Very Asymmetric Ectasia,10.1016/j.xops.2026.101285,CC BY 4.0,Ophthalmology Science,11,31421
PMC13382307,Phenotypic Variations in a Large Family with Dominant Optic Atrophy Related to a Novel OPA1 Deletion,10.1016/j.xops.2026.101286,CC BY 4.0,Ophthalmology Science,8,20256
PMC13383492,WT1-pulsed dendritic cell vaccination for neovascular age-related macular degeneration: a phase I pilot feasibility study,10.1186/s12886-026-04946-y,CC BY 4.0,BMC Ophthalmology,19,35287
PMC13380802,Rapid Access Macular Screening and Evaluation: A Datasheet for a Dataset to Diagnose and Triage Macular Diseases,10.1016/j.xops.2026.101253,CC BY 4.0,Ophthalmology Science,23,32468
PMC13380752,Deep Learning–Guided Retinal Vascular Morphometric Quantification in Cerebral Autosomal Dominant Arteriopathy with Subcortical Infarcts and Leukoencephalopathy Mouse Models,10.1016/j.xops.2026.101279,CC BY 4.0,Ophthalmology Science,14,36036
PMC13380730,Low Rates of Fibrosis in Eyes Treated with the Port Delivery Platform with Ranibizumab or with Monthly Ranibizumab in the Archway Trial,10.1016/j.xops.2026.101276,CC BY 4.0,Ophthalmology Science,13,20054
PMC13377471,Global Axial Length Centile Charts,10.1001/jamaophthalmol.2026.2539,CC BY 4.0,JAMA Ophthalmology,16,25566
PMC13379235,An Artificial Intelligence-Based Prognostic Model for Prediction of Functional Glaucoma Progression From Clinical and Structural Data,10.1016/j.ajo.2025.12.026,CC BY 4.0,American journal of ophthalmology,16,41885
PMC13374831,Impact of Swept-Source OCT Angiographic Scanning Speeds on the Detection of Choriocapillaris Flow Deficits in Eyes With AMD,10.1167/tvst.15.7.16,CC BY 4.0,Translational Vision Science & Technology,14,25596
PMC13374834,Effect of Signal-Strength Filtering on 3D Convolutional Neural Network–Based Visual Field Estimation From Macular OCT,10.1167/tvst.15.7.17,CC BY 4.0,Translational Vision Science & Technology,24,43367
PMC13374838,"Multicenter OCT-Based Visual Field Representations via Segmentation-Free 3D CNNs: Forecasting, Longitudinal Variability, and Progression Detection",10.1167/tvst.15.7.18,CC BY 4.0,Translational Vision Science & Technology,20,55247
PMC13371666,Anterior segment optical coherence tomography enables repeat Descemet Membrane Endothelial Keratoplasty instead of penetrating keratoplasty in a patient with a prominent corneal opacity following DMEK failure: a case report,10.1186/s12886-026-05070-7,CC BY 4.0,BMC Ophthalmology,4,12133
PMC13372064,Air-Coupled Ultrasonic Optical Coherence Elastography Reveals Protocol-Dependent Corneal Stiffening in Epi-On and Epi-Off Riboflavin Crosslinking,10.1167/tvst.15.7.14,CC BY 4.0,Translational Vision Science & Technology,16,51799
PMC13371008,Hyaluronic acid concentration predictably modulates physicochemical properties and clinical performance in ophthalmic viscosurgical devices: integrated laboratory and prospective clinical assessment,10.1186/s12886-026-04924-4,CC BY 4.0,BMC Ophthalmology,25,40832
