run,tag,set,ratio,width,height,crop,curvature,fit,seed,epochs,per_class,octdl_acc,octdl_macro_f1,octdl_recall_CNV,octdl_recall_DME,octdl_recall_DRUSEN,octdl_recall_NORMAL,clinic_acc,clinic_macro_f1,clinic_recall_CNV,clinic_recall_DME,clinic_recall_DRUSEN,clinic_recall_NORMAL,min_per_epoch,timestamp
1,full_flat_squish_448x448,A,1:1,448,448,False,True,squish,0,5,3000,0.899736147757256,0.871915997063208,0.9517374517374516,0.9370629370629372,0.6197916666666666,0.9753521126760564,0.6756756756756757,0.6856410256410257,1.0,1.0,0.5,0.8888888888888888,7.8,2026-08-21T00:12:05+00:00
2,full_flat_squish_544x352,A,1.5:1,544,352,False,True,squish,0,5,3000,0.8786279683377308,0.8476625553379538,0.9806949806949808,0.916083916083916,0.5260416666666666,0.9119718309859156,0.5675675675675675,0.5291666666666667,1.0,1.0,0.3636363636363636,0.7777777777777778,7.61,2026-08-21T00:55:24+00:00
3,full_flat_squish_768x256,A,3:1,768,256,False,True,squish,0,5,3000,0.8654353562005277,0.8187734629990493,0.9555984555984556,0.8671328671328671,0.4427083333333333,0.9859154929577464,0.6216216216216216,0.6213203463203463,1.0,1.0,0.3636363636363636,1.0,7.37,2026-08-21T01:37:39+00:00
4,crop_flat_squish_256x256,B,1:1,256,256,True,False,squish,0,5,3000,0.9058927000879508,0.8741608587439202,0.9922779922779924,0.8811188811188811,0.5572916666666666,0.9964788732394366,0.6216216216216216,0.6423835125448029,1.0,0.8,0.4090909090909091,1.0,2.5,2026-08-21T01:53:16+00:00
5,crop_flat_squish_384x256,B,1.5:1,384,256,True,False,squish,0,5,3000,0.9023746701846964,0.8697750048355273,0.9864864864864864,0.902097902097902,0.5364583333333334,0.9964788732394366,0.6216216216216216,0.6385057471264367,1.0,1.0,0.3636363636363636,1.0,3.77,2026-08-21T02:15:27+00:00
6,crop_flat_squish_768x256,B,3:1,768,256,True,False,squish,0,5,3000,0.8979771328056289,0.8670517043859385,0.9401544401544402,0.965034965034965,0.5885416666666666,0.9964788732394366,0.4324324324324324,0.3284180278281912,0.0,1.0,0.0909090909090909,1.0,7.39,2026-08-21T02:56:12+00:00
7,crop_curv_squish_256x256,B,1:1,256,256,True,True,squish,0,5,3000,0.9146877748460862,0.8938463317699098,0.9575289575289576,0.93006993006993,0.6822916666666666,0.9859154929577464,0.6486486486486487,0.694273098055078,1.0,1.0,0.4090909090909091,1.0,2.5,2026-08-21T03:13:28+00:00
8,crop_curv_squish_384x256,B,1.5:1,384,256,True,True,squish,0,5,3000,0.9138082673702728,0.890720124582069,0.9633204633204632,0.902097902097902,0.671875,0.9929577464788732,0.6486486486486487,0.6451612903225806,1.0,1.0,0.4090909090909091,1.0,3.77,2026-08-21T03:37:18+00:00
9,crop_curv_squish_768x256,B,3:1,768,256,True,True,squish,0,5,3000,0.9058927000879508,0.8780440484032301,0.9594594594594594,0.9370629370629372,0.609375,0.9929577464788732,0.5405405405405406,0.4241071428571429,0.0,1.0,0.2727272727272727,1.0,9.18,2026-08-21T08:07:47+00:00
10,crop_flat_letterbox_256x256,B,1:1,256,256,True,False,letterbox,0,5,3000,0.8803869832893579,0.8371301614954382,0.9864864864864864,0.7972027972027972,0.4895833333333333,0.9929577464788732,0.5675675675675675,0.6023041474654378,1.0,1.0,0.2727272727272727,1.0,2.99,2026-08-21T08:25:43+00:00
11,crop_flat_width_crop_256x256,B,1:1,256,256,True,False,width_crop,0,5,3000,0.8839050131926122,0.8499285159623771,0.9768339768339768,0.8041958041958042,0.5364583333333334,0.98943661971831,0.4864864864864865,0.460265006385696,1.0,0.6,0.2272727272727272,1.0,3.04,2026-08-21T08:43:55+00:00
